vehicle_id,date,time,full_record_name,,,,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-55-20.00046,标准存储,2025-01-26 22:25:18,922.59MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-56-20.00047,标准存储,2025-01-26 22:25:15,862.47MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-57-20.00048,标准存储,2025-01-26 22:25:18,832.08MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-58-20.00049,标准存储,2025-01-26 22:25:18,835.3MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-59-20.00050,标准存储,2025-01-26 22:25:22,886.86MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-00-20.00051,标准存储,2025-01-26 22:25:21,922.28MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-01-20.00052,标准存储,2025-01-26 22:25:15,886.47MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-02-20.00053,标准存储,2025-01-26 22:25:15,884.14MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-03-20.00054,标准存储,2025-01-26 22:25:19,898.27MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-04-20.00055,标准存储,2025-01-26 22:25:19,879.45MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-05-20.00056,标准存储,2025-01-26 22:25:22,889.28MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-06-20.00057,标准存储,2025-01-26 22:25:21,890.13MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-07-20.00058,标准存储,2025-01-26 22:25:19,931.82MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-08-20.00059,标准存储,2025-01-26 22:25:17,942.43MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-09-20.00060,标准存储,2025-01-26 22:25:16,856.47MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-10-20.00061,标准存储,2025-01-26 22:25:22,907.78MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-11-20.00062,标准存储,2025-01-26 22:25:16,889.12MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-12-20.00063,标准存储,2025-01-26 22:25:20,898.39MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-13-20.00064,标准存储,2025-01-26 22:25:22,941.23MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-14-20.00065,标准存储,2025-01-26 22:25:14,954.05MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-15-20.00066,标准存储,2025-01-26 22:25:16,924.19MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-16-20.00067,标准存储,2025-01-26 22:25:19,967.54MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-17-20.00068,标准存储,2025-01-26 22:25:22,936.11MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-18-20.00069,标准存储,2025-01-26 22:25:15,944.25MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-19-20.00070,标准存储,2025-01-26 22:25:19,949.49MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-20-20.00071,标准存储,2025-01-26 22:25:18,938.68MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-21-20.00072,标准存储,2025-01-26 22:25:19,977.82MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-22-20.00073,标准存储,2025-01-26 22:25:20,949.91MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-23-20.00074,标准存储,2025-01-26 22:25:15,955.35MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-24-20.00075,标准存储,2025-01-26 22:25:21,966.97MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-25-20.00076,标准存储,2025-01-26 22:25:19,978.39MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-26-20.00077,标准存储,2025-01-26 22:25:14,978.73MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-27-20.00078,标准存储,2025-01-26 22:25:19,980.18MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-28-20.00079,标准存储,2025-01-26 22:25:16,971.48MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-29-20.00080,标准存储,2025-01-26 22:25:18,955.85MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-30-20.00081,标准存储,2025-01-26 22:25:19,946.69MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-31-20.00082,标准存储,2025-01-26 22:25:16,954.76MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-32-20.00083,标准存储,2025-01-26 22:25:21,919.1MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-33-20.00084,标准存储,2025-01-26 22:25:16,976.32MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-34-20.00085,标准存储,2025-01-26 22:25:20,967.27MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-35-20.00086,标准存储,2025-01-26 22:25:16,977.15MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-36-20.00087,标准存储,2025-01-26 22:25:21,979.91MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-37-20.00088,标准存储,2025-01-26 22:25:15,905.35MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-38-20.00089,标准存储,2025-01-26 22:25:16,864.56MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-39-20.00090,标准存储,2025-01-26 22:25:22,886MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-40-20.00091,标准存储,2025-01-26 22:25:15,880.24MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-41-20.00092,标准存储,2025-01-26 22:25:15,871.77MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-42-20.00093,标准存储,2025-01-26 22:25:18,856.85MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-43-20.00094,标准存储,2025-01-26 22:25:14,876.64MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-44-20.00095,标准存储,2025-01-26 22:25:19,874.82MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-45-20.00096,标准存储,2025-01-26 22:25:17,926.39MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-15-46-20.00097,标准存储,2025-01-26 22:25:15,925.32MB,
