vehicle_id,date,time,full_record_name,,,,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-15-41.00101,标准存储,2025-02-06 00:08:37,924.02MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-16-41.00102,标准存储,2025-02-06 00:09:48,918.74MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-17-41.00103,标准存储,2025-02-06 00:10:24,919.29MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-18-41.00104,标准存储,2025-02-06 00:09:18,932.84MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-19-41.00105,标准存储,2025-02-06 00:08:56,935.96MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-20-41.00106,标准存储,2025-02-06 00:09:12,992.49MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-21-41.00107,标准存储,2025-02-06 00:08:37,964.84MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-22-41.00108,标准存储,2025-02-06 00:08:37,982.19MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-23-41.00109,标准存储,2025-02-06 00:09:38,1018.05MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-24-41.00110,标准存储,2025-02-06 00:10:14,980.99MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-25-41.00111,标准存储,2025-02-06 00:10:34,973.15MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-26-41.00112,标准存储,2025-02-06 00:09:21,967.1MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-27-41.00113,标准存储,2025-02-06 00:08:30,946MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-28-41.00114,标准存储,2025-02-06 00:08:38,1008.68MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-29-41.00115,标准存储,2025-02-06 00:10:50,1016.19MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-30-41.00116,标准存储,2025-02-06 00:10:14,981.25MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-31-41.00117,标准存储,2025-02-06 00:10:51,959.74MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-32-41.00118,标准存储,2025-02-06 00:10:24,922MB,
